pix,freq(Hz),flux(Jy/b)
0,1404253968.3063233,0.0
1,1404280089.5877516,-0.007339362986385822
2,1404306210.86918,0.0076120831072330475
3,1404332332.1506083,-0.0031717042438685894
4,1404358453.4320366,0.0031605542171746492
5,1404384574.713465,-0.00170489854644984
6,1404410695.9948933,-0.009472460485994816
7,1404436817.2763216,-0.004959427751600742
8,1404462938.55775,0.0005261137848719954
9,1404489059.8391783,0.0071541364304721355
10,1404515181.1206067,0.002129003871232271
11,1404541302.402035,-0.00020038076036144048
12,1404567423.6834633,-0.0009225449175573885
13,1404593544.9648917,-0.005457273218780756
14,1404619666.24632,-0.004459722898900509
15,1404645787.5277483,-0.005500741768628359
16,1404671908.8091767,-0.0007041484350338578
17,1404698030.090605,0.0010288712801411748
18,1404724151.3720334,-0.0030094245448708534
19,1404750272.6534617,0.0031775212846696377
20,1404776393.93489,-0.0011328236432746053
21,1404802515.2163184,-0.005714125465601683
22,1404828636.4977467,0.002648360561579466
23,1404854757.779175,-0.008091437630355358
24,1404880879.0606034,-0.005117663182318211
25,1404907000.3420317,-8.883913687895983e-05
26,1404933121.62346,0.0036045676097273827
27,1404959242.9048884,-0.0028925773221999407
28,1404985364.1863167,-0.003918946720659733
29,1405011485.467745,-0.002597841899842024
30,1405037606.7491734,-0.00452182674780488
31,1405063728.0306017,-0.005612634588032961
32,1405089849.31203,-0.001567783416248858
33,1405115970.5934584,0.004078295081853867
34,1405142091.8748868,-0.007795667741447687
35,1405168213.156315,-0.004188050050288439
36,1405194334.4377434,-0.00916020292788744
37,1405220455.7191718,-0.0012656882172450423
38,1405246577.0006,-0.0005726281669922173
39,1405272698.2820284,0.0027285635005682707
40,1405298819.5634568,-0.008052690885961056
41,1405324940.844885,-0.004105231259018183
42,1405351062.1263134,-0.0024460412096232176
43,1405377183.4077418,-0.004091852344572544
44,1405403304.6891701,0.003653287421911955
45,1405429425.9705985,-0.007431674748659134
46,1405455547.2520268,-0.008272954262793064
47,1405481668.5334551,-0.003716703737154603
48,1405507789.8148835,-0.002670789835974574
49,1405533911.0963118,-0.00042733983718790114
50,1405560032.3777401,-0.001274510403163731
51,1405586153.6591685,-0.0003049612569157034
52,1405612274.9405968,-0.0015050832880660892
53,1405638396.2220252,-0.005327014252543449
54,1405664517.5034535,-0.004387746099382639
55,1405690638.7848818,-0.0026627094484865665
56,1405716760.0663102,-0.0016018110327422619
57,1405742881.3477385,-0.004345271736383438
58,1405769002.6291668,0.0007599840755574405
59,1405795123.9105952,0.005371790379285812
60,1405821245.1920235,-0.002585172653198242
61,1405847366.4734519,-0.000996696762740612
62,1405873487.7548802,0.00020178568956907839
63,1405899609.0363085,-0.007064104080200195
