File #,RRLs Present,Frequency (kHz),Poly Order,Range (km/s),RMS (Jy/Beam),Reduced Chi-Squared,AIC,p-test,Notes
0.0,[138. 139. 140.],"[926.4, 906.6, 887.4]","[1, 1, 3]","[2000.0, 2000.0, 2200.0]","[0.00438, 0.00434, 0.00472]","[1.92e-05, 1.88e-05, 2.24e-05]","[-2569.9, -2531.0, -2670.1]","[0.9633, 0.9119, 0.7201]","['p>0.95', '', '']"
6.0,[136. 137. 138.],"[967.7, 946.8, 926.4]","[1, 0, 3]","[2000.0, 2000.0, 2000.0]","[0.00444, nan, 0.00438]","[1.97e-05, 0.0, 1.94e-05]","[-2682.9, nan, -2576.5]","[0.3966, nan, 0.8042]","['4 sig', 'f', '']"
7.0,[133. 134. 135.],"[1034.4, 1011.5, 989.3]","[3, 2, 3]","[2800.0, 2000.0, 2000.0]","[0.00392, 0.00437, 0.00409]","[1.55e-05, 1.92e-05, 1.68e-05]","[-2906.9, -2818.6, -2786.0]","[0.0838, 0.6736, 0.0427]","['e; ~4 sig', '', '4 sig; p<0.05']"
8.0,[131. 132. 133.],"[1082.3, 1058.0, 1034.4]","[1, 3, 2]","[2000.0, 2000.0, 2000.0]","[0.0042, 0.004, 0.00407]","[1.76e-05, 1.61e-05, 1.66e-05]","[-1758.4, -2984.4, -2911.3]","[0.3846, 0.9275, 0.232]","['ef', '', '~4 sig']"
9.0,[129. 130.],"[1133.3, 1107.4]","[4, 3]","[2000.0, 2000.0]","[0.00437, 0.00427]","[1.93e-05, 1.83e-05]","[-3141.5, -3091.5]","[0.6608, 0.2386]","['', '']"
10.0,[127. 128.],"[1187.4, 1159.9]","[4, 4]","[2000.0, 2000.0]","[0.00492, 0.00492]","[2.46e-05, 2.45e-05]","[-2370.5, -3146.3]","[0.9017, 0.5495]","['ef', 'b']"
11.0,[125. 126.],"[1245.1, 1215.8]","[1, 2]","[2000.0, 2600.0]","[0.00698, 0.00767]","[4.87e-05, 5.9e-05]","[-1068.4, -3033.0]","[0.8503, 0.0594]","['f', 'e']"
,,,,,,,,,
12.0,[124. 125.],"[1275.4, 1245.1]","[0, 0]","[2000.0, 2000.0]","[nan, 0.00383]","[0.0, 1.26e-05]","[nan, -64.8]","[nan, nan]","['f', 'f']"
13.0,[122. 123.],"[1338.9, 1306.6]","[1, 4]","[2000.0, 2000.0]","[0.00382, 0.00388]","[1.46e-05, 1.52e-05]","[-3814.6, -3709.3]","[0.2952, 0.189]","['', 'sus']"
,,,,,,,,,
14.0,[120. 121.],"[1406.6, 1372.2]","[3, 3]","[2000.0, 2000.0]","[0.00373, 0.00394]","[1.4e-05, 1.56e-05]","[-3849.6, -3878.3]","[0.0413, 0.2925]","['p<0.05; poly 7 gives very similar AIC and p>0.05', '']"
1.0,[119. 120.],"[1442.3, 1406.6]","[1, 2]","[2000.0, 3000.0]","[0.00384, 0.0038]","[1.47e-05, 1.45e-05]","[-4101.1, -4017.0]","[0.5063, 0.8554]","['', 'e']"
2.0,[117. 118.],"[1517.2, 1479.1]","[0, 1]","[2000.0, 2000.0]","[0.00403, 0.00373]","[1.62e-05, 1.39e-05]","[-2468.2, -4235.1]","[0.7534, 0.0813]","['ef', '']"
3.0,[116. 117.],"[1556.6, 1517.2]","[0, 2]","[2000.0, 2000.0]","[nan, 0.00396]","[0.0, 1.58e-05]","[nan, -4296.7]","[nan, 0.7545]","['f', '']"
4.0,[115.],[1597.4],[0],[2000.0],[0.00878],[7.68e-05],[-2053.0],[0.0237],['f']
5.0,[114.],[1639.6],[1],[2000.0],[0.00469],[2.2e-05],[-4489.0],[0.8603],['~4 sig']
